iso3c,country,emptying_method,population_2017,population_emptying_method,count_pits_septics,emptying_demand,urban_demand,rural_demand
IRN,Iran (Islamic Republic of),non-mechanized,81162560.0499435,18232767.372898802,4819563.374953346,0.22464505015217903,0.5901790166835708,0.40982098331642935
KAZ,Kazakhstan,non-mechanized,18204492.203759845,5129099.2469013315,1453856.7972442992,0.28174909739267534,0.21965420276528952,0.7803457972347104
KGZ,Kyrgyzstan,non-mechanized,6045077.406228689,1777108.7414096324,415294.0411645771,0.29397617631472284,0.2047427404660146,0.7952572595339854
MDV,Maldives,non-mechanized,436330.02510366763,154381.6874562026,28822.151564758904,0.3538186202508596,0,1
NPL,Nepal,non-mechanized,29304995.49611164,13328697.836420933,2777905.8156297733,0.4548268174342311,0.18027480626584516,0.8197251937341548
PAK,Pakistan,non-mechanized,197015965.11590356,73815671.54872485,9520908.537421921,0.3746684767668419,0.13543966055987064,0.8645603394401293
LKA,Sri Lanka,non-mechanized,20876967.247702222,14216199.465364205,2691203.1783887683,0.6809513707949549,0.10179068403055554,0.8982093159694444
TJK,Tajikistan,non-mechanized,8921363.716258632,4170173.893650838,656926.4717775115,0.4674368209033956,0.08457717429864571,0.9154228257013544
TKM,Turkmenistan,non-mechanized,5758083.429579293,2594267.5938562583,499016.82758793887,0.45054359242686504,0.21519049864399978,0.7848095013560002
UZB,Uzbekistan,non-mechanized,31910638.871927045,12627346.214573402,2408844.029309232,0.3957096022192818,0.24048981203641773,0.7595101879635823
BRN,Brunei Darussalam,non-mechanized,NA,0,0,NA,NA,NA
KHM,Cambodia,non-mechanized,16005372.51318531,6651828.854886866,1327866.191613374,0.4155997524835523,0.11431066976317156,0.8856893302368284
CHN,China,non-mechanized,1409515977.5462778,198408533.00342157,56011248.694717176,0.14076359272550876,0.225333751059166,0.7746662489408339
HKG,"China, Hong Kong Special Administrative Region",non-mechanized,7364882.919078801,65616.9741775,22553.818458482223,0.008909438873429825,1,0
MAC,"China, Macao Special Administrative Region",non-mechanized,NA,0,0,NA,NA,NA
PRK,Democratic People's Republic of Korea,non-mechanized,25490969.290557317,5342327.5474493485,1350653.3925657743,0.2095772619140191,0.31182342955597503,0.6881765704440249
IDN,Indonesia,non-mechanized,263991374.801031,167695805.96782523,37989341.5993852,0.6352321400432751,0.5927646528293058,0.40723534717069426
JPN,Japan,non-mechanized,127484455.18635967,0,0,0,NA,NA
LAO,Lao People's Democratic Republic,non-mechanized,6858159.411277301,3106490.238486653,785396.8311957859,0.4529626758716715,0.27885091660083866,0.7211490833991613
MYS,Malaysia,non-mechanized,31624266.45510674,0,0,0,NA,NA
MNG,Mongolia,non-mechanized,3075681.3066407247,1624894.133879065,293319.9626265058,0.5283038038989101,0.6425041692563209,0.3574958307436791
MMR,Myanmar,non-mechanized,53370580.70587838,31290993.73966505,6785749.295954727,0.5862966699220977,0.2599323810617875,0.7400676189382125
PHL,Philippines,non-mechanized,104918090.95197149,63807496.15314741,12003167.465937916,0.6081648605516151,0.44493207690404724,0.5550679230959528
KOR,Republic of Korea,non-mechanized,50982210.19734423,0,0,0,NA,NA
SGP,Singapore,non-mechanized,5708844,0,0,0,NA,NA
THA,Thailand,non-mechanized,69037511.90450084,30090784.096620508,8073769.364566671,0.43586136386613844,0.34679526038144154,0.6532047396185584
TLS,Timor-Leste,non-mechanized,1296311.2173765858,326655.7944914043,50629.12047684597,0.25198871236528764,0.3316385863407736,0.6683614136592264
VNM,Viet Nam,non-mechanized,95540797.89708887,54614084.97738172,13980443.271861497,0.5716310328097628,0.22999976509879538,0.7700002349012045
AIA,Anguilla,non-mechanized,14908.999999999998,3921.8530738124996,1056.4407538492774,0.2630527247845261,1,0
ATG,Antigua and Barbuda,non-mechanized,102011.99457736852,0,0,0,NA,NA
ARG,Argentina,non-mechanized,43937140,3905087.225286282,1178770.80050246,0.08887895810438008,1,0
ABW,Aruba,non-mechanized,NA,0,0,NA,NA,NA
BHS,Bahamas,non-mechanized,395360.9967382175,0,0,0,NA,NA
BRB,Barbados,non-mechanized,285718.9999223408,0,0,0,NA,NA
BLZ,Belize,non-mechanized,374680.971938832,119393.8870000993,30452.756806287183,0.3186547915211205,0.3257649625761646,0.6742350374238354
BOL,Bolivia (Plurinational State of),non-mechanized,11051597.304626657,1642704.3226120146,408256.4428524369,0.14863953846059072,0.42363723654323726,0.5763627634567627
